,name,price,days,rooms,bathrooms,capacity,date,province
175,bosque alto residencias,1100,,2,,,25-11-2023,buenos-aires
176,piso amoblado,550000,,3,,,25-11-2023,buenos-aires
177,belgrano 2800,35000,,1,1,,25-11-2023,buenos-aires
178,hipolito irigoyen 2100,45000,,2,1,,25-11-2023,buenos-aires
179,balcarce 8396,30000,,,,,25-11-2023,buenos-aires
180,11 de septiembre 2900,48000,,2,1,,25-11-2023,buenos-aires
181,rosales al 2500,2500000,,3,,,25-11-2023,buenos-aires
182,juan diaz de solis al 2400,,,4,,,25-11-2023,buenos-aires
183,avenida 12 de octubre 56500,650,,2,2,,25-11-2023,buenos-aires
184,l n alem 3300,,,1,,,25-11-2023,buenos-aires
185,entre rios 2400 piso 1,,,,1,,25-11-2023,buenos-aires
186,espora 300,175000,,,1,,25-11-2023,buenos-aires
187,marinas golf 5200,1300000,,4,,,25-11-2023,buenos-aires
188,marinas golf 5200,950000,,3,,,25-11-2023,buenos-aires
189,marinas golf 5200,1100000,,3,,,25-11-2023,buenos-aires
190,del centauro 1000 piso 1,800,,1,1,,25-11-2023,buenos-aires
191,santa maria 900,98000,,,1,,25-11-2023,buenos-aires
192,champagnat,,,2,,,25-11-2023,buenos-aires
193,bouquet pilar,,,1,,,25-11-2023,buenos-aires
194,bv illia 300,13500,,1,1,,25-11-2023,cordoba
195,marcelo t de alvear 300 piso 2,250000,,2,2,,25-11-2023,cordoba
196,av colon 3400,320000,,2,2,,25-11-2023,cordoba
197,av colon 3400,300000,,2,2,,25-11-2023,cordoba
198,penthouse opera luxury  padre galeano al 900,1000000,,4,,,25-11-2023,cordoba
199,24 de septiembre 800,300000,,1,,,25-11-2023,cordoba
200,buenos aires 500,25000,,1,,,25-11-2023,cordoba
201,buenos aires 500,300000,,1,,,25-11-2023,cordoba
202,hipolito yrigoyen 500 piso 6,1480000,,3,,,25-11-2023,cordoba
203,av alem 400 piso 3,290000,,2,1,,25-11-2023,cordoba
204,argandona 3100,90000,,,1,,25-11-2023,cordoba
205,av republica de china 1450 2,,,2,,,25-11-2023,cordoba
206,av republica de china 1450 2,1500,,2,,,25-11-2023,cordoba
207,av republica de china 1450 2,1500,,2,,,25-11-2023,cordoba
208,pilares de manantiales 100,300000,,1,,,25-11-2023,cordoba
209,darwin 100,42000,,1,,,25-11-2023,cordoba
210,av republica de china  al 1400,,,2,,,25-11-2023,cordoba
211,jujuy 200,250000,,1,1,,25-11-2023,cordoba
212,chateau village  av laplace al 5400,,,3,,,25-11-2023,cordoba
213,obispo oro 300 piso 4,280000,,1,,,25-11-2023,cordoba
214,bv illia 100 piso 14,250000,,1,1,,25-11-2023,cordoba
215,dpto en alquiler 3 dormalto villasoltorre tronador,350000,,3,,,25-11-2023,cordoba
216,santa fe 600 piso 11,230000,,1,1,,25-11-2023,cordoba
217,valle escondido   el collado,550000,,2,,,25-11-2023,cordoba
218,corro 100,120000,,1,,,25-11-2023,cordoba
219,pueyrredon 600 piso 9 a,250000,,3,,,25-11-2023,cordoba
220,rubens 300,20000,,,1,,25-11-2023,cordoba
221,independencia al 500,13500,,1,1,,25-11-2023,cordoba
222,corro esq dean funeshermoso departamento en alquiler temporario excelente zona centro,18000,,1,,,25-11-2023,cordoba
223,bouquet pilar,,,3,,,25-11-2023,buenos-aires
224,av gral paz 600 piso 10,200000,,2,,,25-11-2023,cordoba
225,alquiler temporal en jardin claret summun  2 dormitorios   asador,,,2,,,25-11-2023,cordoba
226,fader 3100 piso pb,,,3,,,25-11-2023,cordoba
227,san lorenzo al 100,31500,,2,,,25-11-2023,cordoba
228,nicolas avellaneda 2200,,,1,,,25-11-2023,cordoba
229,ovidio lagos y 24 de septiembre,20000,,1,,,25-11-2023,cordoba
230,ibarbalz y costanera,25000,,1,,,25-11-2023,cordoba
231,brasil 100 piso 8,38000,,2,,,25-11-2023,cordoba
232,24 de septiembre 800,330,,1,1,,25-11-2023,cordoba
233,paunero 1100 piso pb,350000,,2,1,,25-11-2023,buenos-aires
234,munoz 2900,170000,,1,1,,25-11-2023,buenos-aires
235,palmas del sol,,,2,,,25-11-2023,buenos-aires
236,las malvinas 1000,140000,,1,1,,25-11-2023,buenos-aires
237,carlos linneo 5200,1000,,2,2,,25-11-2023,cordoba
238,av colon 6200,,,1,,,25-11-2023,cordoba
239,9 de julio 3660,20000,,,,,25-11-2023,buenos-aires
240,juan carlos cruz 1800 piso 3,650000,,1,,,25-11-2023,buenos-aires
241,belgrano 1700,880000,,12,6,,25-11-2023,buenos-aires
242,verdi y chile 100,450000,,1,,,25-11-2023,buenos-aires
243,pilara  residence,,,2,,,25-11-2023,buenos-aires
244,j verdi y chile 900,280000,,1,,,25-11-2023,buenos-aires
245,j verdi y chile panam km 47 1000,250000,,,1,,25-11-2023,buenos-aires
246,avenida bartolome mitre 700 piso 9,280000,,2,2,,25-11-2023,buenos-aires
247,san martin 800 piso 8,220000,,1,1,,25-11-2023,buenos-aires
248,chile y verdi 1000,,,2,,,25-11-2023,buenos-aires
249,champagnat 1100,,,2,2,,25-11-2023,buenos-aires
250,15 1500 piso 1,,,1,,,25-11-2023,buenos-aires
251,portezuelo 100 piso 4,,,,1,,25-11-2023,buenos-aires
252,entre rios 1000 piso 1,160000,,1,,,25-11-2023,buenos-aires
253,chile y verdi 1000,,,3,,,25-11-2023,buenos-aires
254,zug caamano j verdi y caamano 1200,,,2,,,25-11-2023,buenos-aires
255,alquiler anual y temporal lagoon pilar,,,1,1,,25-11-2023,buenos-aires
256,cristobal colon 400,90000,,,,,25-11-2023,buenos-aires
257,jonas 500 piso 2,1700,,2,2,,25-11-2023,buenos-aires
258,de las totoras 100,2000,,2,,,25-11-2023,buenos-aires
259,artemis  3a  frente al mar 100,1350,,2,2,,25-11-2023,buenos-aires
260,posta cocodrilo  zona playa 100,2500,,3,2,,25-11-2023,buenos-aires
261,tobias pinamar provincia de buenos aires 100,1600,,1,1,,25-11-2023,buenos-aires
262,de las hesperides 1600 piso 1,3800,,2,2,,25-11-2023,buenos-aires
263,corso florida y la ramba,,,2,,,25-11-2023,buenos-aires
264,de la musas 1600,180,,1,,,25-11-2023,buenos-aires
265,san martin al 600,560,,1,,,25-11-2023,buenos-aires
266,terrazas del lago champagnat 1100 piso 1,600,,1,,,25-11-2023,buenos-aires
267,terrazas del lago champanat  piso pb,550,,2,,,25-11-2023,buenos-aires
268,ayres loft los crisantemos 400 piso pb,450,,1,,,25-11-2023,buenos-aires
269,champagnat 700,2000,,2,,,25-11-2023,buenos-aires
270,av champagnat 700,600,,1,1,,25-11-2023,buenos-aires
271,av champagnat 700,700,,1,1,,25-11-2023,buenos-aires
272,departamento en alquiler 4 ambientes con dependencia,2750000,,3,,,25-11-2023,buenos-aires
